time;W-power.real.c.NATGAS;W-power.real.c.HEAT;W-heat.supply.dhwtaps;W-heat.supply.zones;W-heat.production;Wh-energy.soc
21360;0.0;0.0;0.0;0.0;-0.0;25000.0
21420;0.0;0.0;0.0;0.0;-0.0;25000.0
21480;0.0;0.0;0.0;0.0;-0.0;25000.0
21540;0.0;0.0;0.0;0.0;-0.0;25000.0
21600;0.0;0.0;0.0;0.0;-0.0;25000.0
21660;0.0;0.0;0.0;0.0;-0.0;25000.0
21720;0.0;0.0;0.0;0.0;-0.0;25000.0
21780;0.0;0.0;0.0;0.0;-0.0;25000.0
21840;0.0;0.0;0.0;0.0;-0.0;25000.0
21900;0.0;0.0;0.0;0.0;-0.0;25000.0
21960;0.0;0.0;0.0;0.0;-0.0;25000.0
22020;0.0;0.0;0.0;0.0;-0.0;25000.0
22080;0.0;0.0;0.0;0.0;-0.0;25000.0
22140;0.0;0.0;0.0;0.0;-0.0;25000.0
22200;0.0;0.0;0.0;0.0;-0.0;25000.0
22260;0.0;0.0;0.0;0.0;-0.0;25000.0
22320;0.0;0.0;0.0;0.0;-0.0;25000.0
22380;0.0;0.0;0.0;0.0;-0.0;25000.0
22440;0.0;0.0;0.0;0.0;-0.0;25000.0
22500;0.0;0.0;0.0;0.0;-0.0;25000.0
22560;0.0;0.0;0.0;0.0;-0.0;25000.0
22620;0.0;0.0;0.0;0.0;-0.0;25000.0
22680;0.0;0.0;0.0;0.0;-0.0;25000.0
22740;0.0;0.0;0.0;0.0;-0.0;25000.0
22800;0.0;0.0;0.0;0.0;-0.0;25000.0
22860;0.0;0.0;0.0;0.0;-0.0;25000.0
22920;0.0;0.0;0.0;0.0;-0.0;25000.0
22980;0.0;0.0;0.0;0.0;-0.0;25000.0
23040;0.0;0.0;0.0;0.0;-0.0;25000.0
23100;0.0;0.0;0.0;0.0;-0.0;25000.0
23160;0.0;0.0;0.0;0.0;-0.0;25000.0
23220;0.0;0.0;0.0;0.0;-0.0;25000.0
23280;0.0;0.0;0.0;0.0;-0.0;25000.0
23340;0.0;0.0;0.0;0.0;-0.0;25000.0
23400;0.0;0.0;0.0;0.0;-0.0;25000.0
23460;0.0;0.0;0.0;0.0;-0.0;25000.0
23520;0.0;0.0;0.0;0.0;-0.0;25000.0
23580;0.0;0.0;0.0;0.0;-0.0;25000.0
23640;0.0;0.0;0.0;0.0;-0.0;25000.0
23700;0.0;0.0;0.0;0.0;-0.0;25000.0
23760;0.0;0.0;0.0;0.0;-0.0;25000.0
23820;0.0;0.0;0.0;0.0;-0.0;25000.0
23880;0.0;0.0;0.0;0.0;-0.0;25000.0
23940;0.0;0.0;0.0;0.0;-0.0;25000.0
24000;0.0;0.0;0.0;0.0;-0.0;25000.0
24060;0.0;0.0;0.0;0.0;-0.0;25000.0
24120;0.0;0.0;0.0;0.0;-0.0;25000.0
24180;0.0;0.0;0.0;0.0;-0.0;25000.0
24240;0.0;0.0;0.0;0.0;-0.0;25000.0
24300;0.0;0.0;0.0;0.0;-0.0;25000.0
24360;0.0;0.0;0.0;0.0;-0.0;25000.0
24420;0.0;0.0;0.0;0.0;-0.0;25000.0
24480;0.0;0.0;0.0;0.0;-0.0;25000.0
24540;0.0;0.0;0.0;0.0;-0.0;25000.0
24600;0.0;0.0;0.0;0.0;-0.0;25000.0
24660;0.0;0.0;0.0;0.0;-0.0;25000.0
24720;0.0;0.0;0.0;0.0;-0.0;25000.0
24780;0.0;0.0;0.0;0.0;-0.0;25000.0
24840;0.0;0.0;0.0;0.0;-0.0;25000.0
24900;0.0;0.0;0.0;0.0;-0.0;25000.0
24960;0.0;0.0;0.0;0.0;-0.0;25000.0
25020;0.0;0.0;0.0;0.0;-0.0;25000.0
25080;0.0;0.0;0.0;0.0;-0.0;25000.0
25140;0.0;0.0;0.0;0.0;-0.0;25000.0
25200;0.0;0.0;0.0;0.0;-0.0;25000.0
25260;0.0;0.0;0.0;0.0;-0.0;25000.0
25320;0.0;0.0;0.0;0.0;-0.0;25000.0
25380;0.0;0.0;0.0;0.0;-0.0;25000.0
25440;0.0;0.0;0.0;0.0;-0.0;25000.0
25500;0.0;0.0;0.0;0.0;-0.0;25000.0
25560;0.0;0.0;0.0;0.0;-0.0;25000.0
25620;0.0;0.0;0.0;0.0;-0.0;25000.0
25680;0.0;0.0;0.0;0.0;-0.0;25000.0
25740;0.0;0.0;0.0;0.0;-0.0;25000.0
