time;W-power.real.c.ELECTRICITY
85980;-22867.0
86040;1131.0
86100;-22867.0
86160;1131.0
86220;-22867.0
86280;1131.0
86340;-22867.0
86400;842.0
86460;-23156.0
86520;842.0
86580;-23092.0
86640;906.0
86700;-23093.0
86760;905.0
86820;-23093.0
86880;905.0
86940;-23093.0
87000;905.0
87060;-22987.0
87120;1011.0
87180;-22987.0
87240;1011.0
87300;-22314.0
87360;1684.0
87420;-22314.0
87480;1684.0
87540;-22314.0
87600;1684.0
87660;-22314.0
87720;1684.0
87780;-22314.0
87840;1684.0
87900;-22314.0
87960;1684.0
88020;-22420.0
88080;1578.0
88140;-22420.0
88200;965.0
88260;-22966.0
88320;1032.0
88380;-22966.0
88440;1032.0
88500;-22966.0
88560;1032.0
88620;-22966.0
88680;1032.0
88740;-22966.0
88800;1032.0
88860;-22966.0
88920;1032.0
88980;-22966.0
89040;1032.0
89100;-23123.0
89160;875.0
89220;-23123.0
89280;875.0
89340;-23190.0
89400;808.0
89460;-23190.0
89520;809.0
89580;-23189.0
89640;809.0
89700;-23125.0
89760;873.0
89820;-23125.0
89880;873.0
89940;-23125.0
90000;1641.0
90060;-22357.0
90120;1641.0
90180;-22358.0
90240;1640.0
90300;-22252.0
90360;1746.0
90420;-22316.0
90480;1682.0
90540;-22316.0
90600;1682.0
90660;-22316.0
90720;1682.0
90780;-22316.0
90840;1682.0
90900;-23014.0
90960;984.0
91020;-23014.0
91080;984.0
91140;-23014.0
91200;984.0
91260;-23120.0
91320;878.0
91380;-23120.0
91440;878.0
91500;-23120.0
91560;878.0
91620;-23120.0
91680;878.0
91740;-23120.0
91800;867.0
91860;-23131.0
91920;867.0
91980;-23064.0
92040;934.0
92100;-23064.0
92160;934.0
92220;-23064.0
92280;934.0
92340;-23064.0
92400;934.0
92460;-23064.0
92520;934.0
92580;-23064.0
92640;935.0
92700;-23126.0
92760;872.0
92820;-23062.0
92880;936.0
92940;-23062.0
93000;936.0
93060;-23129.0
93120;869.0
93180;-23129.0
93240;869.0
93300;-23129.0
93360;869.0
93420;-23130.0
93480;868.0
93540;-23088.0
93600;1001.0
93660;-22997.0
93720;1001.0
93780;-22997.0
93840;1001.0
93900;-22997.0
93960;1001.0
94020;-22997.0
94080;1001.0
94140;-22997.0
94200;1001.0
94260;-22997.0
94320;1001.0
94380;-22997.0
94440;1001.0
94500;-23129.0
94560;869.0
94620;-23129.0
94680;869.0
94740;-23129.0
94800;869.0
94860;-23129.0
94920;869.0
94980;-23129.0
95040;869.0
95100;-23129.0
95160;869.0
95220;-23129.0
95280;869.0
95340;-23129.0
95400;839.0
95460;-23159.0
95520;839.0
95580;-23159.0
95640;839.0
95700;-23092.0
95760;906.0
95820;-23092.0
95880;906.0
95940;-23028.0
96000;971.0
96060;-23027.0
96120;971.0
96180;-23027.0
96240;971.0
96300;-23057.0
96360;939.0
96420;-23060.0
96480;938.0
96540;-23060.0
96600;939.0
96660;-23123.0
96720;875.0
96780;-23083.0
96840;925.0
96900;-23079.0
96960;948.0
97020;-22929.0
97080;1073.0
97140;-22925.0
97200;-219.0
97260;-24217.0
97320;-246.0
97380;-24362.0
97440;-373.0
97500;-22682.0
97560;2760.0
