time;SmartMeter-House-8: W-power.real.c.ELECTRICITY;Load-House-8: W-power.real.c.ELECTRICITY;WashingMachine-House-8: W-power.real.c.ELECTRICITY;Dishwasher-House-8: W-power.real.c.ELECTRICITY;Battery-House-8: W-power.real.c.ELECTRICITY;Battery-House-8: Wh-energy.soc;Heatpump-House-8: W-power.real.c.ELECTRICITY;Heatpump-House-8: Wh-energy.soc;DomesticHotWaterControllerBoiler-House-8: W-power.real.c.ELECTRICITY;DomesticHotWaterControllerBoiler-House-8: Wh-energy.soc
596100;461.0;392.0;0.0;0.0;55.0;-1;14.614510980123205;9144.365759254159;0.0;0.0
596160;461.0;392.0;0.0;0.0;55.0;5000;14.614510980123205;9070.340059986167;0.0;0.0
596220;461.0;392.0;0.0;0.0;55.0;-1;14.614510980123205;8996.314360718176;0.0;0.0
596280;461.0;392.0;0.0;0.0;55.0;5000;14.614510980123205;8922.288661450184;0.0;0.0
596340;461.0;392.0;0.0;0.0;55.0;-1;14.614510980123205;8848.262962182192;0.0;0.0
596400;461.0;392.0;0.0;0.0;55.0;5000;14.614510980123205;8774.237262914201;0.0;0.0
596460;461.0;392.0;0.0;0.0;55.0;-1;14.614510980123205;8700.21156364621;0.0;0.0
596520;461.0;392.0;0.0;0.0;55.0;5000;14.614510980123205;8626.185864378218;0.0;0.0
596580;461.0;392.0;0.0;0.0;55.0;-1;14.614510980123205;8552.160165110226;0.0;0.0
596640;461.0;443.0;0.0;0.0;4.0;5000;14.614510980123205;8478.134465842235;0.0;0.0
596700;383.0;443.0;0.0;0.0;-74.0;-1;14.614510980123205;8404.108766574243;0.0;0.0
596760;383.0;443.0;0.0;0.0;-1638.0;5000;14.614510980123205;8330.083067306252;1563.5;0.0
596820;383.0;443.0;0.0;0.0;-74.0;-1;14.614510980123205;8256.05736803826;0.0;0.0
596880;383.0;443.0;0.0;0.0;-74.0;5000;14.614510980123205;8182.031668770269;0.0;0.0
596940;383.0;443.0;0.0;0.0;-74.0;-1;14.614510980123205;8108.005969502277;0.0;0.0
597000;383.0;443.0;0.0;0.0;-74.0;5000;14.614510980123205;8033.980270234286;0.0;0.0
597060;383.0;443.0;0.0;0.0;-74.0;-1;14.614510980123205;7959.954570966294;0.0;0.0
597120;383.0;443.0;0.0;0.0;-74.0;5000;14.614510980123205;7885.928871698303;0.0;0.0
597180;383.0;443.0;0.0;0.0;-74.0;-1;14.614510980123205;7811.903172430311;0.0;0.0
597240;383.0;443.0;0.0;0.0;-74.0;5000;14.614510980123205;7737.87747316232;0.0;0.0
597300;383.0;443.0;0.0;0.0;-74.0;-1;14.614510980123205;7663.851773894328;0.0;0.0
597360;383.0;443.0;0.0;0.0;-74.0;5000;14.614510980123205;7589.826074626337;0.0;0.0
597420;383.0;392.0;0.0;0.0;-23.0;-1;14.614510980123205;7515.800375358345;0.0;0.0
597480;383.0;392.0;0.0;0.0;-23.0;5000;14.614510980123205;7441.774676090354;0.0;0.0
597540;383.0;392.0;0.0;0.0;-23.0;-1;14.614510980123205;7367.748976822362;0.0;0.0
597600;518.0;392.0;0.0;0.0;112.0;5000;14.614510980123205;7293.723277554371;0.0;0.0
597660;518.0;392.0;0.0;0.0;112.0;-1;14.614510980123205;7219.697578286379;0.0;0.0
597720;518.0;392.0;0.0;0.0;112.0;5000;14.614510980123205;7145.671879018388;0.0;0.0
597780;518.0;392.0;0.0;0.0;112.0;-1;14.614510980123205;7071.646179750396;0.0;0.0
597840;518.0;392.0;0.0;0.0;112.0;5000;14.614510980123205;6997.620480482405;0.0;0.0
597900;518.0;392.0;0.0;0.0;112.0;-1;14.614510980123205;6923.594781214413;0.0;0.0
597960;518.0;392.0;0.0;0.0;112.0;5000;14.614510980123205;6849.569081946422;0.0;0.0
598020;518.0;392.0;0.0;0.0;112.0;-1;14.614510980123205;6775.54338267843;0.0;0.0
598080;518.0;444.0;0.0;0.0;60.0;5000;14.614510980123205;6701.517683410439;0.0;0.0
598140;518.0;444.0;0.0;0.0;60.0;-1;14.614510980123205;6627.491984142447;0.0;0.0
