time;SmartMeter-House-1: W-power.real.c.ELECTRICITY;Load-House-1: W-power.real.c.ELECTRICITY;WashingMachine-House-1: W-power.real.c.ELECTRICITY;Dishwasher-House-1: W-power.real.c.ELECTRICITY;ElectricVehicle-House-1: W-power.real.c.ELECTRICITY;ElectricVehicle-House-1: Wh-energy.soc;Heatpump-House-1: W-power.real.c.ELECTRICITY;Heatpump-House-1: Wh-energy.soc;DomesticHotWaterControllerBoiler-House-1: W-power.real.c.ELECTRICITY;DomesticHotWaterControllerBoiler-House-1: Wh-energy.soc
324420;1535.0;516.0;0.0;0.0;50000.0;0.0;39.447500189979564;13046.51862343844;0.0;0.0
324480;1535.0;516.0;0.0;0.0;0.0;50000.0;39.447500189979564;13049.148456784438;0.0;0.0
324540;1535.0;516.0;0.0;0.0;0.0;0.0;39.447500189979564;13051.778290130436;0.0;0.0
324600;1535.0;516.0;0.0;0.0;50000.0;0.0;39.447500189979564;13054.408123476434;0.0;0.0
324660;1535.0;516.0;0.0;0.0;0.0;50000.0;39.447500189979564;13057.037956822433;0.0;0.0
324720;1535.0;516.0;0.0;0.0;0.0;0.0;39.447500189979564;13059.66779016843;0.0;0.0
324780;1535.0;516.0;0.0;0.0;50000.0;0.0;39.447500189979564;13062.297623514429;0.0;0.0
324840;1535.0;516.0;0.0;0.0;0.0;50000.0;39.447500189979564;13064.927456860427;0.0;0.0
324900;1535.0;516.0;0.0;0.0;0.0;0.0;39.447500189979564;13067.557290206425;0.0;0.0
324960;1535.0;516.0;0.0;0.0;50000.0;0.0;39.447500189979564;13070.187123552423;0.0;0.0
325020;1535.0;516.0;0.0;0.0;0.0;50000.0;39.447500189979564;13072.816956898421;0.0;0.0
325080;1535.0;516.0;0.0;0.0;0.0;0.0;39.447500189979564;13075.44679024442;0.0;0.0
325140;1535.0;516.0;0.0;0.0;50000.0;0.0;39.447500189979564;13078.076623590418;0.0;0.0
325200;1535.0;516.0;0.0;0.0;0.0;50000.0;39.447500189979564;13080.706456936416;0.0;0.0
325260;1535.0;516.0;0.0;0.0;0.0;0.0;39.447500189979564;13083.336290282414;0.0;0.0
325320;1535.0;516.0;0.0;0.0;50000.0;0.0;39.447500189979564;13085.966123628412;0.0;0.0
325380;1510.0;491.0;0.0;0.0;0.0;50000.0;39.447500189979564;13088.59595697441;0.0;0.0
325440;1510.0;491.0;0.0;0.0;0.0;0.0;39.447500189979564;13091.225790320408;0.0;0.0
325500;1510.0;491.0;0.0;0.0;50000.0;0.0;39.447500189979564;13093.855623666406;0.0;0.0
325560;1510.0;491.0;0.0;0.0;0.0;50000.0;39.447500189979564;13096.485457012404;0.0;0.0
325620;1510.0;491.0;0.0;0.0;0.0;0.0;39.447500189979564;13099.115290358402;0.0;0.0
325680;1510.0;491.0;0.0;0.0;50000.0;0.0;39.447500189979564;13101.7451237044;0.0;0.0
325740;1510.0;491.0;0.0;0.0;0.0;50000.0;39.447500189979564;13104.374957050399;0.0;0.0
325800;1510.0;491.0;0.0;0.0;0.0;0.0;39.447500189979564;13107.004790396397;0.0;0.0
325860;1510.0;491.0;0.0;0.0;50000.0;0.0;39.447500189979564;13109.634623742395;0.0;0.0
325920;1510.0;491.0;0.0;0.0;0.0;50000.0;39.447500189979564;13112.264457088393;0.0;0.0
325980;1510.0;491.0;0.0;0.0;0.0;0.0;39.447500189979564;13114.894290434391;0.0;0.0
326040;1510.0;491.0;0.0;0.0;50000.0;0.0;39.447500189979564;13117.52412378039;0.0;0.0
326100;1510.0;491.0;0.0;0.0;0.0;50000.0;39.447500189979564;13120.153957126387;0.0;0.0
326160;1510.0;491.0;0.0;0.0;0.0;0.0;39.447500189979564;13122.783790472386;0.0;0.0
326220;1510.0;491.0;0.0;0.0;50000.0;0.0;39.447500189979564;13125.413623818384;0.0;0.0
326280;1510.0;491.0;0.0;0.0;0.0;50000.0;39.447500189979564;13128.043457164382;0.0;0.0
326340;1577.0;558.0;0.0;0.0;0.0;0.0;39.447500189979564;13130.67329051038;0.0;0.0
326400;1577.0;558.0;0.0;0.0;50000.0;0.0;39.447500189979564;13133.303123856378;0.0;0.0
