time;SmartMeter-House-4: W-power.real.c.ELECTRICITY;Load-House-4: W-power.real.c.ELECTRICITY;WashingMachine-House-4: W-power.real.c.ELECTRICITY;ElectricVehicle-House-4: W-power.real.c.ELECTRICITY;ElectricVehicle-House-4: Wh-energy.soc
457980;2343.0;96.0;1000.0;0.0;10000.0
458040;2343.0;96.0;1000.0;0.0;0.0
458100;2343.0;96.0;1000.0;10000.0;0.0
458160;2343.0;96.0;1000.0;0.0;10000.0
458220;2343.0;96.0;1000.0;0.0;0.0
458280;2343.0;96.0;1000.0;10000.0;0.0
458340;2694.0;447.0;1000.0;0.0;10000.0
458400;2575.0;328.0;1000.0;0.0;0.0
458460;2575.0;328.0;1000.0;10000.0;0.0
458520;2575.0;328.0;1000.0;0.0;10000.0
458580;2575.0;328.0;1000.0;0.0;0.0
458640;2575.0;328.0;1000.0;10000.0;0.0
458700;2575.0;328.0;1000.0;0.0;10000.0
458760;2575.0;328.0;1000.0;0.0;0.0
458820;2575.0;328.0;1000.0;10000.0;0.0
458880;2575.0;328.0;1000.0;0.0;10000.0
458940;2575.0;328.0;1000.0;0.0;0.0
459000;1328.0;328.0;1000.0;10000.0;0.0
459060;1328.0;328.0;1000.0;0.0;10000.0
459120;1328.0;328.0;1000.0;0.0;0.0
459180;1328.0;328.0;1000.0;10000.0;0.0
459240;1328.0;328.0;1000.0;0.0;10000.0
459300;1328.0;328.0;1000.0;0.0;0.0
459360;1328.0;328.0;1000.0;10000.0;0.0
459420;1328.0;328.0;1000.0;0.0;10000.0
459480;1328.0;328.0;1000.0;0.0;0.0
459540;1328.0;328.0;1000.0;10000.0;0.0
459600;1328.0;328.0;1000.0;0.0;10000.0
459660;1434.0;434.0;1000.0;0.0;0.0
459720;1434.0;434.0;1000.0;10000.0;0.0
459780;1434.0;434.0;1000.0;0.0;10000.0
459840;1434.0;434.0;1000.0;0.0;0.0
459900;1434.0;434.0;1000.0;10000.0;0.0
459960;1434.0;434.0;1000.0;0.0;10000.0
460020;1434.0;434.0;1000.0;0.0;0.0
460080;1434.0;434.0;1000.0;10000.0;0.0
460140;1434.0;434.0;1000.0;0.0;10000.0
460200;1434.0;434.0;1000.0;0.0;0.0
460260;1434.0;434.0;1000.0;10000.0;0.0
460320;1434.0;434.0;1000.0;0.0;10000.0
460380;1434.0;434.0;1000.0;0.0;0.0
460440;1434.0;434.0;1000.0;10000.0;0.0
460500;1434.0;434.0;1000.0;0.0;10000.0
460560;1434.0;434.0;1000.0;0.0;0.0
460620;1328.0;328.0;1000.0;10000.0;0.0
460680;1328.0;328.0;1000.0;0.0;10000.0
460740;1328.0;328.0;1000.0;0.0;0.0
460800;1328.0;328.0;1000.0;10000.0;0.0
460860;1328.0;328.0;1000.0;0.0;10000.0
460920;1328.0;328.0;1000.0;0.0;0.0
460980;1219.0;219.0;1000.0;10000.0;0.0
461040;1219.0;219.0;1000.0;0.0;10000.0
461100;1219.0;219.0;1000.0;0.0;0.0
461160;1219.0;219.0;1000.0;10000.0;0.0
461220;1096.0;96.0;1000.0;0.0;10000.0
461280;1096.0;96.0;1000.0;0.0;0.0
461340;1096.0;96.0;1000.0;10000.0;0.0
461400;1096.0;96.0;1000.0;0.0;10000.0
461460;1096.0;96.0;1000.0;0.0;0.0
461520;1096.0;96.0;1000.0;10000.0;0.0
461580;1096.0;96.0;1000.0;0.0;10000.0
461640;1096.0;96.0;1000.0;0.0;0.0
461700;1096.0;96.0;1000.0;10000.0;0.0
461760;1096.0;96.0;1000.0;0.0;10000.0
461820;1096.0;96.0;1000.0;0.0;0.0
461880;1096.0;96.0;1000.0;10000.0;0.0
461940;1096.0;96.0;1000.0;0.0;10000.0
462000;1096.0;96.0;1000.0;0.0;0.0
462060;1096.0;96.0;1000.0;10000.0;0.0
462120;1096.0;96.0;1000.0;0.0;10000.0
462180;1096.0;96.0;1000.0;0.0;0.0
462240;1096.0;96.0;1000.0;10000.0;0.0
462300;1096.0;96.0;1000.0;0.0;10000.0
462360;1096.0;96.0;1000.0;0.0;0.0
462420;1096.0;96.0;1000.0;10000.0;0.0
462480;1096.0;96.0;1000.0;0.0;10000.0
462540;1096.0;96.0;1000.0;0.0;0.0
462600;1096.0;96.0;1000.0;10000.0;0.0
462660;1096.0;96.0;1000.0;0.0;10000.0
462720;1096.0;96.0;1000.0;0.0;0.0
462780;1096.0;96.0;1000.0;10000.0;0.0
462840;1096.0;96.0;1000.0;0.0;10000.0
462900;1202.0;202.0;1000.0;0.0;0.0
462960;1202.0;202.0;1000.0;10000.0;0.0
463020;1202.0;202.0;1000.0;0.0;10000.0
463080;1202.0;202.0;1000.0;0.0;0.0
463140;1202.0;202.0;1000.0;10000.0;0.0
463200;1202.0;202.0;1000.0;0.0;10000.0
463260;1202.0;202.0;1000.0;0.0;0.0
463320;1202.0;202.0;1000.0;10000.0;0.0
463380;1202.0;202.0;1000.0;0.0;10000.0
463440;1202.0;202.0;1000.0;0.0;0.0
463500;1202.0;202.0;1000.0;10000.0;0.0
463560;1202.0;202.0;1000.0;0.0;10000.0
463620;1202.0;202.0;1000.0;0.0;0.0
463680;1202.0;202.0;1000.0;10000.0;0.0
463740;1202.0;202.0;1000.0;0.0;10000.0
463800;1202.0;202.0;1000.0;0.0;0.0
463860;1096.0;96.0;1000.0;10000.0;0.0
463920;1096.0;96.0;1000.0;0.0;10000.0
463980;1096.0;96.0;1000.0;0.0;0.0
464040;1096.0;96.0;1000.0;10000.0;0.0
464100;1096.0;96.0;1000.0;0.0;10000.0
